"","leto","drzava","drzavljanstvo","spol","stevilo"
"1",2008,"European Union (28 countries)","Europe","Males",NA
"2",2008,"European Union (28 countries)","Europe","Females",NA
"3",2008,"European Union (28 countries)","Belgium","Males",NA
"4",2008,"European Union (28 countries)","Belgium","Females",NA
"5",2008,"European Union (28 countries)","Bulgaria","Males",NA
"6",2008,"European Union (28 countries)","Bulgaria","Females",NA
"7",2008,"European Union (28 countries)","Czech Republic","Males",NA
"8",2008,"European Union (28 countries)","Czech Republic","Females",NA
"9",2008,"European Union (28 countries)","Denmark","Males",NA
"10",2008,"European Union (28 countries)","Denmark","Females",NA
"11",2008,"European Union (28 countries)","Germany (until 1990 former territory of the FRG)","Males",NA
"12",2008,"European Union (28 countries)","Germany (until 1990 former territory of the FRG)","Females",NA
"13",2008,"European Union (28 countries)","Estonia","Males",NA
"14",2008,"European Union (28 countries)","Estonia","Females",NA
"15",2008,"European Union (28 countries)","Ireland","Males",NA
"16",2008,"European Union (28 countries)","Ireland","Females",NA
"17",2008,"European Union (28 countries)","Greece","Males",NA
"18",2008,"European Union (28 countries)","Greece","Females",NA
"19",2008,"European Union (28 countries)","Spain","Males",NA
"20",2008,"European Union (28 countries)","Spain","Females",NA
"21",2008,"European Union (28 countries)","France","Males",NA
"22",2008,"European Union (28 countries)","France","Females",NA
"23",2008,"European Union (28 countries)","Croatia","Males",NA
"24",2008,"European Union (28 countries)","Croatia","Females",NA
"25",2008,"European Union (28 countries)","Italy","Males",NA
"26",2008,"European Union (28 countries)","Italy","Females",NA
"27",2008,"European Union (28 countries)","Cyprus","Males",NA
"28",2008,"European Union (28 countries)","Cyprus","Females",NA
"29",2008,"European Union (28 countries)","Latvia","Males",NA
"30",2008,"European Union (28 countries)","Latvia","Females",NA
"31",2008,"European Union (28 countries)","Lithuania","Males",NA
"32",2008,"European Union (28 countries)","Lithuania","Females",NA
"33",2008,"European Union (28 countries)","Luxembourg","Males",NA
"34",2008,"European Union (28 countries)","Luxembourg","Females",NA
"35",2008,"European Union (28 countries)","Hungary","Males",NA
"36",2008,"European Union (28 countries)","Hungary","Females",NA
"37",2008,"European Union (28 countries)","Malta","Males",NA
"38",2008,"European Union (28 countries)","Malta","Females",NA
"39",2008,"European Union (28 countries)","Netherlands","Males",NA
"40",2008,"European Union (28 countries)","Netherlands","Females",NA
"41",2008,"European Union (28 countries)","Austria","Males",NA
"42",2008,"European Union (28 countries)","Austria","Females",NA
"43",2008,"European Union (28 countries)","Poland","Males",NA
"44",2008,"European Union (28 countries)","Poland","Females",NA
"45",2008,"European Union (28 countries)","Portugal","Males",NA
"46",2008,"European Union (28 countries)","Portugal","Females",NA
"47",2008,"European Union (28 countries)","Romania","Males",NA
